promise,speed,n,n_negative,mean_score,neg_pct,ci_lo,ci_hi
broken,fast,187,45,3.6684491978609626,24.06417112299465,18.498949913106095,30.673519963927117
broken,slow,6194,3931,2.231837261866322,63.464643203099776,62.257458402595134,64.65513707223445
kept,fast,47725,3745,4.388915662650603,7.84704033525406,7.609160324018885,8.09170571384061
kept,slow,41718,4503,4.182247471115586,10.793901912843378,10.49973910708827,11.095284371827182
