distance_q,arrival,n,n_negative,mean_score,neg_pct,ci_lo,ci_hi
nearest 25%,late,1057,541,2.6887417218543046,51.18259224219489,48.17035176328886,54.18626804928554
nearest 25%,on time,22780,1880,4.357945566286216,8.252853380158033,7.902522853787709,8.617261422599647
2nd,late,1490,955,2.216778523489933,64.09395973154362,61.624748996165344,66.49068437214729
2nd,on time,22347,2133,4.291627511522799,9.544905356423682,9.166580402228165,9.937136416382431
3rd,late,1684,1095,2.178147268408551,65.02375296912113,62.714179535312056,67.26493949494198
3rd,on time,22152,2080,4.266883351390393,9.389671361502348,9.012571238099248,9.780853812395488
furthest 25%,late,2106,1360,2.177587844254511,64.57739791073125,62.509868550983086,66.59184415901183
furthest 25%,on time,21731,2125,4.249367263356495,9.778657217799458,9.390822968810996,10.180709066188461
