bucket,n,n_negative,mean_score,neg_pct,ci_lo,ci_hi
<=7d,25875,1920,4.420405797101449,7.420289855072464,7.107214685236906,7.746006101283803
8-14d,39684,3462,4.3216409636125395,8.72391895978228,8.45026354238312,9.005564752181368
15-21d,17056,1811,4.180640243902439,10.61796435272045,10.16446584898189,11.089198598138136
22-30d,5873,847,3.958794483228333,14.421930870083433,13.546694092619644,15.343679601492116
31-45d,910,193,3.6857142857142855,21.208791208791208,18.676668853598212,23.982969215190113
45d+,45,15,3.311111111111111,33.333333333333336,21.358874855892566,47.92951180664363
