bucket,n,n_negative,mean_score,neg_pct,ci_lo,ci_hi
1-2d,1356,345,3.5147492625368733,25.442477876106196,23.195927080117684,27.8277753044309
3-5d,1366,774,2.4692532942898975,56.66178623718887,54.01885830709008,59.26735075163072
6-10d,1634,1263,1.7747858017135862,77.29498164014687,75.20110870898651,79.26081708749857
11-20d,1261,1009,1.6788263283108644,80.01586042823156,77.71907199722446,82.13032609805444
21-40d,579,479,1.5664939550949915,82.72884283246978,79.43680358065251,85.58945600071827
40d+,185,106,2.4162162162162164,57.2972972972973,50.09233862594478,64.20536917611787
